artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Thomas Waterman Wood,1823      ,1903      ,"American, Montpelier, Vermont 1823–1903 New York","Wood, Thomas Waterman",American,http://vocab.getty.edu/page/ulan/500017367,https://www.wikidata.org/wiki/Q7794913,TW006
John  A. Woodside,1781      ,1852      ,1781–1852,"Woodside, John A.",American,http://vocab.getty.edu/page/ulan/500015290,https://www.wikidata.org/wiki/Q22667538,JW023
Alexander H. Wyant,1836      ,1892      ,1836–1892,"Wyant, Alexander H.",American,http://vocab.getty.edu/page/ulan/500000707,https://www.wikidata.org/wiki/Q2833132,AW012
George Henry Yewell,1830      ,1923      ,1830–1923,"Yewell, George Henry",American,,https://www.wikidata.org/wiki/Q19975476,GY001
Harvey O. Young,1840      ,1901      ,1840–1901,"Young, Harvey O.",American,http://vocab.getty.edu/page/ulan/500011327,https://www.wikidata.org/wiki/Q22343684,HY002
Samuel Mulliken II,1761      ,1847      ,1761–1847,"Mulliken, Samuel II",American,,https://www.wikidata.org/wiki/Q67164299,SI002
The Kalo Shop,1900      ,1970      ,"American, 1900–1970",Kalo Shop,American,(not assigned),https://www.wikidata.org/wiki/Q22906065,TS013
Eulabee Dix,1878      ,1961      ,1878–1961,"Dix, Eulabee",American,http://vocab.getty.edu/page/ulan/500094967,https://www.wikidata.org/wiki/Q5408719,ED010
Fidelia Bridges,1834      ,1923      ,"(American, Salem, Massachusetts 1834-1923 Canaan, Connecticut)","Bridges, Fidelia",American,http://vocab.getty.edu/page/ulan/500009974,https://www.wikidata.org/wiki/Q5446751,FB006
Peter Stretch,1670      ,1746      ,"American, 1670–1746","Stretch, Peter",American,,https://www.wikidata.org/wiki/Q16859582,PS005
Columbian Art Pottery (Morris and Willmore),1893      ,1905      ,1893–1905,Columbian Art Pottery (Morris and Willmore) ,American,,,CW010
White Pines Pottery,1913      ,1929      ,ca. 1913–29,White Pines Pottery,American,,,WP012
Gifford Beal,1879      ,1956      ,"American, New York 1879–1956 New York","Beal, Gifford",American,http://vocab.getty.edu/page/ulan/500019899,https://www.wikidata.org/wiki/Q5559916,GB012
Mary Waine,1783      ,1883      ,born 1783,"Waine, Mary",American,,,MW011
Rebecca Davis,          ,9999      , ,"Davis, Rebecca",American,,,RD006
Martha (Patty) Coggeshall,1780      ,1797      ,1780–1797,"Coggeshall, Martha Patty",American,http://vocab.getty.edu/page/ulan/500331501,https://www.wikidata.org/wiki/Q29908787,MC021
Ruth Rogers,1731      ,1749      ,"American, 1731–1749","Rogers, Ruth",American,,,RR005
Rebekah White,1753      ,1823      ,1753–1823,"White, Rebekah",American,,,RW010
Margaret (Peggy) Ingraham,1778      ,1818      ,1778–1818,"Ingraham, Margaret Peggy",American,,,MI001
Rebekah S. Munro,1780      ,1803      ,1780–1803,"Munro, Rebekah S.",American,http://vocab.getty.edu/page/ulan/500329617,https://www.wikidata.org/wiki/Q29413383,RM005
Mary Munro,1776      ,          ,born 1776,"Munro, Mary",American,,,MM006
Stourbridge Flint Glass Works,1823      ,1845      ,1823–1845,Stourbridge Flint Glass Works ,American,,,SW011
A. Kimbel and Sons,1882      ,1941      ,"American, New York 1882–1941","Kimbel, A. and Sons",American,http://vocab.getty.edu/page/ulan/500524423,,AS013
Ripley and Company,1866      ,1874      ,"American, Pittsburgh, Pennsylvania, 1866–1874",Ripley and Company,American,,,RC013
Parke Edwards,1890      ,1973      ,"American, Lancaster County, Pennsylvania 1890–1973 Pennsylvania","Edwards, Parke",American,http://vocab.getty.edu/page/ulan/500524798,,PE004
Byrdcliffe Arts and Crafts Colony,1902      ,1915      ,"American, 1902–1915",Byrdcliffe Arts and Crafts Colony,American,http://vocab.getty.edu/page/ulan/500332069,https://www.wikidata.org/wiki/Q5004242,BC013
Northwestern Terra Cotta Company,1886      ,1925      ,1886–ca. 1920,Northwestern Terra Cotta Company , ,,,NC009
Ira W. Corey,1867      ,1870      ,active 1867–70,"Corey, Ira W.",American,,,IC004
S. E. Lang,          ,9999      , ,"Lang, S. E.",American,,,SL003
F. G.,          ,          , ,F. G.,American,,,FG002
Lizzie M. Fairchild,          ,9999      , ,"Fairchild, Lizzie M.",American,,,LF005
Chittenango Pottery Company,1897      ,1897      , ,Chittenango Pottery Company ,American,,,CC021
Lockwood de Forest,1850      ,1932      ,"American, New York 1850–1932 Santa Barbara, California","de Forest, Lockwood",American,http://vocab.getty.edu/page/ulan/500018434,https://www.wikidata.org/wiki/Q1748371,LF006
Thomas G. Brown and Sons,1881      ,1915      ,1881–ca. 1915,Brown and Sons Thomas G.,American,,,TS014
Stickley Brothers,1891      ,1954      ,1891–1954,Stickley Brothers ,American,http://vocab.getty.edu/page/ulan/500334033,,SB012
Annie Traquair Lang,1885      ,1918      ,1885–1918,"Lang, Annie Traquair",American,http://vocab.getty.edu/page/ulan/500331529,https://www.wikidata.org/wiki/Q21985219,AL005
William Jennys,1774      ,1859      ,"American, 1774–1859","Jennys, William",American,http://vocab.getty.edu/page/ulan/500029998,https://www.wikidata.org/wiki/Q8013556,WJ009
John M. Safford,1811      ,1880      ,1811–1880,"Safford, John M.",American,,,JS047
"Ball, Black & Co.",1851      ,1874      ,"American, New York, 1851–1874","Ball, Black & Co.",American,http://vocab.getty.edu/page/ulan/500524481,,BC014
Tahanto Manufacturing Company,          ,9999      , ,Tahanto Manufacturing Company ,American,,,TC019
Oscar Bruno Bach,1884      ,1957      ,1884–1957,"Bach, Oscar Bruno",German,,https://www.wikidata.org/wiki/Q94377139,OB004
Louis Kronberg,1872      ,1965      ,"American, 1872–1965","Kronberg, Louis",American,http://vocab.getty.edu/page/ulan/500003749,https://www.wikidata.org/wiki/Q6687568,LK001
Sypher & Co.,1866      ,1906      ,active 1866–ca. 1906,Sypher & Co. ,American,,,SC015
