artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Ludwigsburg Porcelain Manufactory,1758      ,1824      ,"German, 1758–1824",Ludwigsburg Porcelain Manufactory,German,http://vocab.getty.edu/page/ulan/500332682,https://www.wikidata.org/wiki/Q2105490,LM019
Mennecy,          ,          , ,Mennecy, ,,,M084
Chantilly,          ,          ,French,Chantilly,French,http://vocab.getty.edu/page/ulan/500055294,https://www.wikidata.org/wiki/Q3398119,C047
Fulda Pottery and Porcelain Manufactory,1764      ,1789      ,"German, 1764–1789",Fulda Pottery and Porcelain Manufactory,German,,,FM024
Théodore Rivière,1857      ,1912      ,"French, 1857–1912","Rivière, Théodore",French,http://vocab.getty.edu/page/ulan/500085849,https://www.wikidata.org/wiki/Q3526488,TR010
Alexandre-Louis-Marie Charpentier,1856      ,1909      ,"French, Paris 1856–1909 Neuilly","Charpentier, Alexandre-Louis-Marie",French,http://vocab.getty.edu/page/ulan/500020471,https://www.wikidata.org/wiki/Q980735,AC057
Jaques Lucas,1651      ,1736      ,"French, active La Rochelle, recorded 1681–1706","Lucas, Jaques",French,,,JL038
Pierre Reymond,1513      ,1590      ,"born 1513, working 1537, died after 1584",Reymond Pierre, ,http://vocab.getty.edu/page/ulan/500024208,https://www.wikidata.org/wiki/Q7192420,PR010
Bernard Salomon,1508      ,1561      ,"French, ca. 1508–ca. 1561","Salomon, Bernard",French,http://vocab.getty.edu/page/ulan/500015400,https://www.wikidata.org/wiki/Q2898582,BS020
"Luisa Roldán, called La Roldana",1652      ,1706      ,"Spanish, Seville 1652–1706 Madrid","Roldán, Luisa",Spanish,http://vocab.getty.edu/page/ulan/500035072,https://www.wikidata.org/wiki/Q6701326,LR015
Giovanni Jacopo Caraglio,1500      ,1565      ,"Italian, Parma or Verona ca. 1500/1505–1565 Krakow (?)","Caraglio, Giovanni Jacopo",Italian,http://vocab.getty.edu/page/ulan/500025904,https://www.wikidata.org/wiki/Q705640,GC037
Pietro Tacca,1577      ,1640      ,"Italian, Carrara 1577–1640 Florence","Tacca, Pietro",Italian,http://vocab.getty.edu/page/ulan/500007371,https://www.wikidata.org/wiki/Q1350673,PT008
Fernand Thesmar,1843      ,1912      ,"French, 1843–1912","Thesmar, Fernand",French,http://vocab.getty.edu/page/ulan/500337213,https://www.wikidata.org/wiki/Q4759893,FT005
Clodion (Claude Michel),1738      ,1814      ,"French, Nancy 1738–1814 Paris",Clodion (Claude Michel),French,http://vocab.getty.edu/page/ulan/500115369,https://www.wikidata.org/wiki/Q2979538,CM020
Gardner Manufactory,          ,          ,Russian,Gardner Manufactory,Russian,http://vocab.getty.edu/page/ulan/500331792,https://www.wikidata.org/wiki/Q4481340,GM020
Vezzi Factory,1720      ,1727      ,"Italian, 1720–1727",Vezzi Factory,Italian,,,VF002
"Frederic, Lord Leighton",1830      ,1896      ,"British, Scarborough 1830–1896 London","Leighton, Frederic, Lord",British,http://vocab.getty.edu/page/ulan/500030022,https://www.wikidata.org/wiki/Q160252,FL013
Sir Alfred Gilbert,1854      ,1934      ,"British, London 1854–1934 London","Gilbert, Alfred",British,http://vocab.getty.edu/page/ulan/500002382,https://www.wikidata.org/wiki/Q2835166,SG023
David King,1688      ,1738      ,active 1688–1738,King David, ,,,DK007
Lorenzo Ghiberti,1378      ,1455      ,"Italian, Florence 1378–1455 Florence","Ghiberti, Lorenzo",Italian,http://vocab.getty.edu/page/ulan/500006531,https://www.wikidata.org/wiki/Q208125,LG015
Jean-François-Antoine Bovy,1795      ,1877      ,"French, 1795–1877","Bovy, Jean-François-Antoine",French,http://vocab.getty.edu/page/ulan/500108241,https://www.wikidata.org/wiki/Q116730,JB060
Giovanni della Robbia,1469      ,1530      ,"Italian, Florence 1469–1529/30 Florence","della Robbia, Giovanni",Italian,http://vocab.getty.edu/page/ulan/500006945,https://www.wikidata.org/wiki/Q1010700,GR009
Christophe Veyrier,1637      ,1689      ,1637–1689,Veyrier Christophe, ,http://vocab.getty.edu/page/ulan/500016316,https://www.wikidata.org/wiki/Q1444041,CV003
Philippe Laurent Roland,1746      ,1816      ,"French, Pont-à-Marc 1746–1816 Paris","Roland, Philippe Laurent", ,http://vocab.getty.edu/page/ulan/500022752,https://www.wikidata.org/wiki/Q3379186,PR011
Louis I Cresson,1706      ,1761      ,"French, 1706–1761",CRESSON LOUIS I,French,http://vocab.getty.edu/page/ulan/500066856,https://www.wikidata.org/wiki/Q55111030,LC029
Louis Delanois,1731      ,1792      ,"French, 1731–1792","Delanois, Louis",French,http://vocab.getty.edu/page/ulan/500071271,https://www.wikidata.org/wiki/Q3261678,LD013
Jean-Jacques Pothier,1750      ,1780      ,"master 1750, working until ca. 1780",Pothier Jean-Jacques, ,http://vocab.getty.edu/page/ulan/500106396,https://www.wikidata.org/wiki/Q54887759,JP036
Georges Jacob,1739      ,1814      ,"French, Cheny 1739–1814 Paris","Jacob, Georges",French,http://vocab.getty.edu/page/ulan/500115031,https://www.wikidata.org/wiki/Q503567,GJ019
Jean-François Roumier,1758      ,1823      ,"master 1788, recorded 1793",Roumier Jean-François, ,,,JR035
Augustin Pajou,1730      ,1809      ,"French, Paris 1730–1809 Paris","Pajou, Augustin",French,http://vocab.getty.edu/page/ulan/500015509,https://www.wikidata.org/wiki/Q524291,AP026
Barthélemy Prieur,1536      ,1611      ,"French, Berzieux ca. 1536–1611 Paris","Prieur, Barthélemy",French,http://vocab.getty.edu/page/ulan/500022881,https://www.wikidata.org/wiki/Q2885997,BP020
André Charles Boulle,1642      ,1732      ,"French, Paris 1642–1732 Paris","Boulle, André Charles",French,http://vocab.getty.edu/page/ulan/500029110,https://www.wikidata.org/wiki/Q128964,AB042
Ignaz Günther,1725      ,1775      ,"German, Altmannstein 1725–1775 Munich","Günther, Ignaz",German,http://vocab.getty.edu/page/ulan/500014866,https://www.wikidata.org/wiki/Q525374,IG005
Richard de Lalonde,1780      ,1790      ,"French, active Paris, 1780–90","Lalonde, Richard de",French,http://vocab.getty.edu/page/ulan/500004250,https://www.wikidata.org/wiki/Q61957775,RL011
Jean-Baptiste-Claude Odiot,1763      ,1850      ,"French, 1763–1850","Odiot, Jean-Baptiste-Claude",French,http://vocab.getty.edu/page/ulan/500025155,https://www.wikidata.org/wiki/Q3176320,JO004
Jacques-Antoine Dassier,1715      ,1759      ,"Swiss, Geneva 1715–1759 Copenhagen","Dassier, Jacques-Antoine",Swiss,http://vocab.getty.edu/page/ulan/500123502,https://www.wikidata.org/wiki/Q3157867,JD048
Antonio Fabris,1792      ,1865      ,"Italian, Udine 1792–1865 Venice","Fabris, Antonio",Italian,http://vocab.getty.edu/page/ulan/500524753,https://www.wikidata.org/wiki/Q27883262,AF024
Benjamin Wyon,1802      ,1858      ,"British, London 1802–1858 London","Wyon, Benjamin",British,http://vocab.getty.edu/page/ulan/500117325,https://www.wikidata.org/wiki/Q16066204,BW019
Alessandro Algardi,1598      ,1654      ,"Italian, Bologna 1598–1654 Rome","Algardi, Alessandro",Italian,http://vocab.getty.edu/page/ulan/500024200,https://www.wikidata.org/wiki/Q336798,AA012
Moderno (Galeazzo Mondella),1467      ,1528      ,"Italian, Verona 1467–1528 Verona",Moderno (Galeazzo Mondella),Italian,http://vocab.getty.edu/page/ulan/500164563,https://www.wikidata.org/wiki/Q430155,MM052
Valerio Belli (Il Vicentino),1468      ,1546      ,1468–1546,Belli Valerio (Il Vicentino), ,http://vocab.getty.edu/page/ulan/500005431,https://www.wikidata.org/wiki/Q716539,VV002
Baron François Joseph Bosio,1768      ,1845      ,"French, 1768–1845","Bosio, François Joseph, Baron", ,http://vocab.getty.edu/page/ulan/500007321,https://www.wikidata.org/wiki/Q659429,BB032
Antonio Rossellino,1427      ,1479      ,"Italian, Settignano 1427–ca. 1479 Florence","Rossellino, Antonio",Italian,http://vocab.getty.edu/page/ulan/500002855,https://www.wikidata.org/wiki/Q256079,AR025
"Andrea Briosco, called Riccio",1470      ,1532      ,"Italian, Trent 1470–1532 Padua","Briosco, Andrea, called Riccio",Italian,http://vocab.getty.edu/page/ulan/500025246,https://www.wikidata.org/wiki/Q283580,AR026
Giuseppe Girometti,1780      ,1851      ,"Italian, Rome 1780–1851 Rome","Girometti, Giuseppe",Italian,http://vocab.getty.edu/page/ulan/500123514,https://www.wikidata.org/wiki/Q1339913,GG011
Severo Calzetta da Ravenna,1496      ,1543      ,"Italian, active by 1496, died before 1543","Ravenna, Severo Calzetta da",Italian,http://vocab.getty.edu/page/ulan/500006878,https://www.wikidata.org/wiki/Q3958521,SR020
Robert Roskell,1800      ,1830      ,"British, active 1790–1847","Roskell, Robert",British,http://vocab.getty.edu/page/ulan/500052367,,RR014
John Carter II,1768      ,1777      ,active 1768–1777,Carter John II, ,,,JI018
Thomas Whieldon,1719      ,1795      ,"British, Penkull, Stoke-on-Trent 1719–1795","Whieldon, Thomas",British,(not assigned),https://www.wikidata.org/wiki/Q11803136,TW018
Niccolò Roccatagliata,1593      ,1636      ,"Italian, born Genoa, active 1593–1636","Roccatagliata, Niccolò",Italian,http://vocab.getty.edu/page/ulan/500011772,https://www.wikidata.org/wiki/Q3875892,NR011
Giovanni Francesco Susini,1585      ,1653      ,"Italian, Florence 1585–1653 Florence","Susini, Giovanni Francesco",Italian,http://vocab.getty.edu/page/ulan/500022671,https://www.wikidata.org/wiki/Q3767287,GS039
Jean-Baptiste Carpeaux,1827      ,1875      ,"French, Valenciennes 1827–1875 Courbevoie","Carpeaux, Jean-Baptiste",French,http://vocab.getty.edu/page/ulan/500115348,https://www.wikidata.org/wiki/Q182791,JC101
Antonio Tamagnini,1461      ,1534      ,"Italian, active ca. 1491–1504","Tamagnini, Antonio",Italian,,,AT022
Alessandro Vittoria (Alessandro Vittoria di Vigilio della Volpa),1525      ,1608      ,"Italian, 1525–1608",Vittoria Alessandro,Italian,http://vocab.getty.edu/page/ulan/500025294,https://www.wikidata.org/wiki/Q1347426,AV010
Antonio Gentili (Antonio da Faenza),1514      ,1610      ,"Italian, Faenza ca. 1519–1610 Faenza (?)","Gentili, Antonio (Antonio da Faenza)",Italian,http://vocab.getty.edu/page/ulan/500005061,https://www.wikidata.org/wiki/Q21282288,AF026
Guglielmo della Porta,1500      ,1577      ,"Italian, Porlezza, near Lake Lugano ca. 1500–1577 Rome","Porta, Guglielmo della",Italian,http://vocab.getty.edu/page/ulan/500001864,https://www.wikidata.org/wiki/Q1623328,GP018
Andrea Bregno,1418      ,1503      ,"Italian, Osteno 1418–1503 Rome","Bregno, Andrea",Italian,http://vocab.getty.edu/page/ulan/500020750,https://www.wikidata.org/wiki/Q493515,AB043
Elias Adam,1669      ,1745      ,"German, ca. 1669–1745, master 1703",Adam Elias,German,http://vocab.getty.edu/page/ulan/500335114,,EA008
New Hall,1781      ,1835      ,1781–1835,New Hall, ,,,NH014
Thomas Cory,1655      ,1689      ,"British, active 1655–89","Cory, Thomas",British,http://vocab.getty.edu/page/ulan/500524542,,TC046
Leonhard Rothaer I,1671      ,1690      ,working 1671–90,Rothaer Leonhard I, ,,,LI006
Giovanni Maria Morlaiter,1699      ,1781      ,"Italian, Niederdorf, Tyrol 1699–1781 Venice","Morlaiter, Giovanni Maria",Italian,http://vocab.getty.edu/page/ulan/500029061,https://www.wikidata.org/wiki/Q339474,GM027
Pietro Lombardo (or Pietro di Martino da Carona),1435      ,1515      ,"Italian, Carona, Lombardy ca. 1435–1515 Venice","Lombardo, Pietro",Italian,,,PC032
Alfred André,1839      ,1919      ,"French, 1839–1919","André, Alfred",French,http://vocab.getty.edu/page/ulan/500403532,https://www.wikidata.org/wiki/Q2834942,AA013
Reinhold Vasters,1827      ,1909      ,"German, Erkelenz 1827–1909 Aachen","Vasters, Reinhold",German,http://vocab.getty.edu/page/ulan/500109723,https://www.wikidata.org/wiki/Q2141574,RV008
Mino da Fiesole (Mino di Giovanni),1429      ,1484      ,"Italian, Papiano or Montemignaio 1429–1484 Florence",Mino da Fiesole (Mino di Giovanni),Italian,http://vocab.getty.edu/page/ulan/500002074,https://www.wikidata.org/wiki/Q477441,MG027
Andrea di Pietro di Marco Ferrucci,1465      ,1526      ,"Italian, Fiesole 1465–1526 Florence","Ferrucci, Andrea di Pietro di Marco",Italian,http://vocab.getty.edu/page/ulan/500020771,,AF027
Germain Pilon,1525      ,1590      ,"French, Paris ca. 1525–1590 Paris","Pilon, Germain",French,http://vocab.getty.edu/page/ulan/500029903,https://www.wikidata.org/wiki/Q554943,GP019
Benedetto da Maiano,1442      ,1497      ,"Italian, Maiano 1442–1497 Florence",Benedetto da Maiano,Italian,http://vocab.getty.edu/page/ulan/500006675,https://www.wikidata.org/wiki/Q675619,BM010
Luca della Robbia,1399      ,1482      ,"Italian, 1399/1400–1482 Florence","Robbia, Luca della",Italian,http://vocab.getty.edu/page/ulan/500009618,https://www.wikidata.org/wiki/Q194977,LR017
Michel Anguier,1612      ,1686      ,"French, Eu (Seine-Maritime) 1612–1686 Paris","Anguier, Michel",French,http://vocab.getty.edu/page/ulan/500018160,https://www.wikidata.org/wiki/Q2017872,MA020
Master of the Triptych of Louis XII,1480      ,1525      ,ca. 1490–ca. 1515,Master of the Triptych of Louis XII, ,http://vocab.getty.edu/page/ulan/500065044,https://www.wikidata.org/wiki/Q18578386,MX003
Workshop of the Master of the High Foreheads,          ,1600      , ,Workshop of the Master of the High Foreheads, ,http://vocab.getty.edu/page/ulan/500063119,,WF015
Nardon Pénicaud,1470      ,1543      ,"French, 1470–1542/43","Pénicaud, Nardon",French,http://vocab.getty.edu/page/ulan/500067558,https://www.wikidata.org/wiki/Q18508551,NP006
Suzanne de Court,1575      ,1625      ,"French, active 1575–1625","Court, Suzanne de",French,http://vocab.getty.edu/page/ulan/500316249,https://www.wikidata.org/wiki/Q18508663,SC042
Léonard Limosin,1505      ,1577      ,ca. 1505–1575/1577,LIMOSIN LÉONARD, ,http://vocab.getty.edu/page/ulan/500019824,https://www.wikidata.org/wiki/Q1879480,LL019
St. Gallen,          ,          , ,St. Gallen, ,,,SG024
Agostino d'Antonio di Duccio,1418      ,1498      ,"Italian, Florence, 1418–1498",Agostino d'Antonio di Duccio,"Italian, Florence",http://vocab.getty.edu/page/ulan/500005732,https://www.wikidata.org/wiki/Q395755,AD023
Joseph Willems,1716      ,1766      ,"Flemish, 1716–1766",Willems Joseph,Flemish,http://vocab.getty.edu/page/ulan/500087696,,JW054
Giuseppe Ceracchi,1751      ,1802      ,"Italian, 1751–1802","Ceracchi, Giuseppe",Italian,http://vocab.getty.edu/page/ulan/500005986,https://www.wikidata.org/wiki/Q3108014,GC042
Whieldon and Wedgwood,1754      ,1759      ,1754–1759,Whieldon and Wedgwood, ,,,WW026
Veuve Perrin Factory,          ,          , ,Veuve Perrin Factory, ,,,VF003
Johannes I. Mayr,1629      ,1687      ,1629–1687,Mayr Johannes I., ,,,JM074
Antonio di Neri Barili,1453      ,1516      ,1453–1516,di Neri Barili Antonio, ,http://vocab.getty.edu/page/ulan/500010990,https://www.wikidata.org/wiki/Q5565880,AB046
Nicolas Castille,1503      ,1521      ,active 1503–21,"Castille, Nicolas", ,http://vocab.getty.edu/page/ulan/500074636,,NC021
Valentin Bousch,1514      ,1541      ,"French, active 1514–41, died 1541",Bousch Valentin,French,http://vocab.getty.edu/page/ulan/500245121,https://www.wikidata.org/wiki/Q3553568,VB006
Philippe Meynadier,1775      ,1875      ,recorded about 1780–early 19th century),Meynadier Philippe, ,,,PM017
Jean Pénicaud I,1490      ,1543      ,"French, ca. 1490–after 1543","Pénicaud, Jean, I",French,http://vocab.getty.edu/page/ulan/500010455,https://www.wikidata.org/wiki/Q27925192,JI022
Giovanni Bernardi da Castel Bolognese,1494      ,1553      ,"Italian, Castel Bolognese 1494–1553 Faenza","Bernardi, Giovanni da Castel Bolognese",Italian,http://vocab.getty.edu/page/ulan/500054850,https://www.wikidata.org/wiki/Q632781,GB029
Annibale Fontana,1540      ,1587      ,"Italian, 1540–1587","Fontana, Annibale",Italian,http://vocab.getty.edu/page/ulan/500002512,https://www.wikidata.org/wiki/Q3618059,AF028
Joachim Michael Salecker,1723      ,1752      ,active 1723–52,"Salecker, Joachim Michael", ,,,JS094
Leone Leoni,1504      ,1590      ,"Italian, Menaggio ca. 1509–1590 Milan","Leoni, Leone",Italian,http://vocab.getty.edu/page/ulan/500008130,https://www.wikidata.org/wiki/Q722092,LL020
Antonio Pollaiuolo,1432      ,1498      ,"Italian, Florence ca. 1432–1498 Rome","Pollaiuolo, Antonio",Italian,http://vocab.getty.edu/page/ulan/500013242,https://www.wikidata.org/wiki/Q318640,AP029
Jean Marie Tiron (called Tiron de Nanteuil),1748      ,1793      ,"French, active 1748–73, died 1793 (?)","Tiron (called Tiron de Nanteuil), Jean Marie",French,http://vocab.getty.edu/page/ulan/500334892,https://www.wikidata.org/wiki/Q22661410,JN016
Adrien Jean Maximilien Vachette,1753      ,1839      ,"French, Cauffry 1753–1839 Paris","Vachette, Adrien Jean Maximilien",French,http://vocab.getty.edu/page/ulan/500524238,https://www.wikidata.org/wiki/Q4685662,AV011
Charles Le Bastier,1724      ,1783      ,"French, apprenticed 1738, master 1754, active 1783",Le Bastier Charles,French,,,CB037
Jean-Joseph Barrière,1733      ,1833      ,"French, apprenticed 1750, master 1763, active 1793","Barrière, Jean-Joseph",French,http://vocab.getty.edu/page/ulan/500524762,,JB071
Joseph Etienne Blerzy,1750      ,1806      ,"French, active 1750–1806","Blerzy, Joseph Etienne",French,http://vocab.getty.edu/page/ulan/500524496,https://www.wikidata.org/wiki/Q22661422,JB072
Nicolas Antoine Taunay,1755      ,1830      ,"French, Paris 1755–1830 Paris","Taunay, Nicolas Antoine",French,http://vocab.getty.edu/page/ulan/500019829,https://www.wikidata.org/wiki/Q3339947,NT010
Jean Ducrollay,1709      ,1760      ,"French, born 1709, master 1734, recorded 1760",DUCROLLAY JEAN, ,(not assigned),https://www.wikidata.org/wiki/Q62592156,JD055
Jean Frémin,1738      ,1786      ,"French, active 1738–83, died 1786","Frémin, Jean",French,http://vocab.getty.edu/page/ulan/500524356,,JF028
Johann Neuber of Schwartzenberg,1736      ,1808      ,1736–1808,"Neuber, Johann of Schwartzenberg",German,,,JS096
Jean-Charles-Simphorien Dubos,1719      ,1819      ,"born 1719, master 1748, retired by 1766, recorded 1781",DUBOS JEAN-CHARLES-SIMPHORIEN, ,,,JD056
Louis-Philippe Demay,1672      ,1772      ,"French, master 1758, died 1772",DEMAY LOUIS-PHILIPPE,French,http://vocab.getty.edu/page/ulan/500330908,,LD015
Jean-François Garand,1678      ,1778      ,"French, master 1748, died 1778","Garand, Jean-François",French,,,JG042
Daniel Baudesson,1716      ,1785      ,"1716–1785, working 1730–80",Baudesson Daniel, ,http://vocab.getty.edu/page/ulan/500100787,https://www.wikidata.org/wiki/Q50338700,DB019
Master of the Barbarigo Reliefs,1475      ,1575      , ,MASTER OF THE BARBARIGO RELIEFS, ,http://vocab.getty.edu/page/ulan/500107289,https://www.wikidata.org/wiki/Q1296297,MR021
I. Josias Belle,1624      ,1695      ,"French, 1624–1695","Belle, I. Josias",French,,,IB007
Francis Perigal,1741      ,1767      ,"British, active 1741–67","Perigal, Francis",British,,,FP016
John Champion,1730      ,1780      ,"British, 1730–1779","Champion, John",British,,,JC108
Richard Peckover,1737      ,1756      ,active 1737–56,Peckover Richard, ,,,RP018
Nicholas Vallin,1503      ,1603      ,"Flemish, active ca. 1590–died 1603",Vallin Nicholas,Flemish,,,NV002
Simon Hackett,1620      ,1664      ,"before 1620–1664, active 1630–60, master 1646",Hackett Simon, ,,,SH022
"Joseph Martineau, Sr.",1744      ,1794      ,"active London, 1744–1794","Martineau, Joseph, Sr.", ,,,JS098
Bartholomew Newsam,1487      ,1587      ,"British, recorded 1565, died 1587","Newsam, Bartholomew",British,(not assigned),https://www.wikidata.org/wiki/Q267855,BN004
"Michael Nouwen, or Nouen",1513      ,1613      ,"Flemish, active London, ca. 1600–10, died 1613","Nouwen, Michael",Flemish,,,MN015
Jacques Goullons,1626      ,1671      ,"French, active Paris, 1626–died 1671","Goullons, Jacques",French,http://vocab.getty.edu/page/ulan/500524464,https://www.wikidata.org/wiki/Q56841628,JG044
"Firm of Moulinié, Bautte & Moynier",1808      ,1821      ,"Swiss, 1808–21","Moulinié, Bautte & Moynier",Swiss,,,FM028
Abraham Cusin,1651      ,1682      ,active 1651–82,Cusin Abraham, ,(not assigned),https://www.wikidata.org/wiki/Q2821816,AC062
Pierre Vernede,1580      ,1680      ,"active Agen, ca. 1630–40","Vernede, Pierre", ,,,PV005
Estienne Hubert,1625      ,1702      ,ca. 1625–after 1702,Hubert Estienne, ,,,EH021
Nicolas Forfaict,1580      ,1615      ,"French, Paris, ca. 1580–1615","Forfaict, Nicolas",French,,,NF006
Pierre-Martin Scheult,1600      ,1700      ,"French, active ca. 1650","Scheult, Pierre-Martin",French,,,PS020
Saint James's Factory,1749      ,1759      ,"British, ca. 1748/49–1760",Saint James's Factory,British,,,SF020
Masséot Abaquesne,1538      ,1557      ,"French, active 1538–57","Abaquesne, Masséot",French,http://vocab.getty.edu/page/ulan/500061393,https://www.wikidata.org/wiki/Q3297576,MA022
Jean Marc Nattier,1685      ,1766      ,"French, Paris 1685–1766 Paris","Nattier, Jean Marc",French,http://vocab.getty.edu/page/ulan/500120754,https://www.wikidata.org/wiki/Q277738,JN019
Pierre Chapelle II,1684      ,1760      ,1684–1760,CHAPELLE PIERRE II, ,,,PI009
Medici Porcelain Manufactory,1570      ,1592      ,"Italian, Florence, ca. 1575–ca. 1587",Medici Porcelain Manufactory,Italian,http://vocab.getty.edu/page/ulan/500055295,https://www.wikidata.org/wiki/Q3908452,MM056
Gian Francesco Enzola,1456      ,1478      ,"Italian, active 1456–78",Enzola Gian Francesco,Italian,http://vocab.getty.edu/page/ulan/500092265,,GE011
Alvise of Padua,1426      ,1526      , ,Alvise of Padua, ,,,AP032
Baldassare Manara,1500      ,1550      ,"Italian, Faenza, active first half 16th century","Manara, Baldassare",Italian,http://vocab.getty.edu/page/ulan/500112736,https://www.wikidata.org/wiki/Q18507910,BM012
François-Honoré-Georges Jacob-Desmalter,1770      ,1841      ,"French, 1770–1841",Jacob-Desmalter François-Honoré-Georges,French,(not assigned),https://www.wikidata.org/wiki/Q449885,FJ006
John Swift,1728      ,1828      ,"British, active from 1728",Swift John,British,,,JS101
Etienne Séjournant,1772      ,1772      ,master in 1772,Séjournant Etienne, ,,,ES037
Jean Henri Riesener,1734      ,1806      ,"French, Gladbeck, North Rhine-Westphalia 1734–1806 Paris","Riesener, Jean Henri",French,http://vocab.getty.edu/page/ulan/500024826,https://www.wikidata.org/wiki/Q69566,JR051
Jacques Juliot,1540      ,1552      ,"French, active 1540–52",Juliot Jacques,French,http://vocab.getty.edu/page/ulan/500052949,https://www.wikidata.org/wiki/Q18215012,JJ035
Jean Guillaume Moitte,1746      ,1810      ,"French, Paris 1746–1810 Paris","Moitte, Jean Guillaume",French,http://vocab.getty.edu/page/ulan/500008594,https://www.wikidata.org/wiki/Q3172432,JM081
Benedetto Buglioni,1459      ,1521      ,"Italian, Florence 1459/60–1521 Florence","Buglioni, Benedetto",Italian,http://vocab.getty.edu/page/ulan/500010233,https://www.wikidata.org/wiki/Q590255,BB039
Ernest Chaplet,1835      ,1909      ,"French, Sèvres 1835–1909 Choisy-le-Roi","Chaplet, Ernest",French,http://vocab.getty.edu/page/ulan/500059181,https://www.wikidata.org/wiki/Q3056883,EC029
Giocondo (Giuseppe) Albertolli,1742      ,1839      ,"Italian, Bedano 1742–1839 Milan","Albertolli, Giocondo (Guiseppe)",Italian,http://vocab.getty.edu/page/ulan/500016710,https://www.wikidata.org/wiki/Q115920,GA011
Master with the Mark of a Crowned D,1741      ,1841      , ,Master with the Mark of a Crowned D, ,,,MD022
Jean-Baptiste III Lelarge,1743      ,1802      ,"French, 1743–1802","Lelarge, Jean-Baptiste III",French,http://vocab.getty.edu/page/ulan/500107933,https://www.wikidata.org/wiki/Q55097605,JL058
Vittore Gambello,1455      ,1537      ,"Italian, Venice, 1455/60–1537","Gambello, Vittore",Italian,http://vocab.getty.edu/page/ulan/500023226,https://www.wikidata.org/wiki/Q4015185,VG004
Renacle-Nicolas Sotiau,1691      ,1791      ,"1749, master 1782, died 1791",Sotiau Renacle-Nicolas, ,(not assigned),https://www.wikidata.org/wiki/Q53218751,RS035
William Vile,1715      ,1767      ,"British, Somerset 1715–1767 London","Vile, William",British,http://vocab.getty.edu/page/ulan/500101955,https://www.wikidata.org/wiki/Q8019728,WV005
César-Isidore-Henry Cros,1840      ,1840      ,"French, 1840–1907","Cros, César-Isidore-Henry",French,http://vocab.getty.edu/page/ulan/500022608,https://www.wikidata.org/wiki/Q3132707,CC056
Benjamin Goodison,1700      ,1767      ,"British, 1700–1767","Goodison, Benjamin",British,(not assigned),https://www.wikidata.org/wiki/Q4888715,BG008
Francesco Fanelli,1608      ,1665      ,"Italian, born Florence 1577, active Genoa (1605–30) and England (1632–39)","Fanelli, Francesco",Italian,http://vocab.getty.edu/page/ulan/500029197,https://www.wikidata.org/wiki/Q3749954,FF018
Thomas Toft,1589      ,1689      ,active before 1663–died 1689,Toft Thomas, ,http://vocab.getty.edu/page/ulan/500099179,https://www.wikidata.org/wiki/Q7794495,TT022
Thomas Mason,1716      ,1745      ,"British, active 1716–after 1745",Mason Thomas,British,http://vocab.getty.edu/page/ulan/500524544,,TM030
Paul Le Riche,1686      ,1738      ,"French, master 1686, active 1738",Le Riche Paul,French,,,PR016
Giovanni Battista di Jacopo,1494      ,1540      ,"Italian, Florence 1494–1540 Fontainebleau",Jacopo Giovanni Battista di,Italian,http://vocab.getty.edu/page/ulan/500014451,https://www.wikidata.org/wiki/Q312617,GJ020
Domenico Poggini,1520      ,1590      ,"Italian, Florence 1520–1590 Rome","Poggini, Domenico",Italian,http://vocab.getty.edu/page/ulan/500000281,https://www.wikidata.org/wiki/Q3713189,DP016
Michel Molart,1641      ,1713      ,"French, Dieppe 1641–1713 Dieppe","Molart, Michel",French,(not assigned),https://www.wikidata.org/wiki/Q3310365,MM059
Abraham Dupré,1604      ,1647      ,1604–1647,"Dupré, Abraham", ,(not assigned),https://www.wikidata.org/wiki/Q20751282,AD028
Jean Varin,1606      ,1672      ,"French, Liège baptized 1607–1672 Paris",Varin Jean,French,http://vocab.getty.edu/page/ulan/500019534,https://www.wikidata.org/wiki/Q1751100,JV014
Claude Varin,1630      ,1654      ,active 1630–54,"Varin, Claude",French,(not assigned),https://www.wikidata.org/wiki/Q21328762,CV006
Matthias Lock,1705      ,1760      ,"British, London ca. 1710–ca. 1765 London","Lock, Matthias",British,http://vocab.getty.edu/page/ulan/500011481,https://www.wikidata.org/wiki/Q6791570,ML026
Sir Edward Burne-Jones,1833      ,1898      ,"British, Birmingham 1833–1898 Fulham","Burne-Jones, Edward, Sir",British,http://vocab.getty.edu/page/ulan/500001381,https://www.wikidata.org/wiki/Q216406,SB032
Martin-Guillaume Biennais,1764      ,1843      ,"French, 1764–1843, active ca. 1796–1819","Biennais, Martin-Guillaume",French,http://vocab.getty.edu/page/ulan/500061154,https://www.wikidata.org/wiki/Q1694164,MB050
Giuseppe Agricola,1745      ,1804      ,1745–1804,"Agricola, Giuseppe", ,,,GA012
Claude I Sené,1724      ,1792      ,"French, 1724–1792","Sené, Claude I",French,http://vocab.getty.edu/page/ulan/500093533,https://www.wikidata.org/wiki/Q48967538,CS037
Michel Gourdin,1677      ,1777      ,"French, master 1752, died after 1777","Gourdin, Michel",French,http://vocab.getty.edu/page/ulan/500098780,,MG029
